"Track","Artists","Genres"
"Relationship (feat. Future)","Young Thug;Future","rap;melodic rap;trap"
"CAN'T SAY","Travis Scott","rap"
"Sky","Playboi Carti","rage rap"
"Mas Que Nada","Sergio Mendes & Brasil '66","bossa nova;brazilian jazz;latin jazz"
"Money Trees","Kendrick Lamar;Jay Rock","hip hop;west coast hip hop"
"Portland","Drake;Quavo;Travis Scott","rap;hip hop"
"Холодок","Мэвл",""
"Light Year (Practice)","Lil Uzi Vert","melodic rap"
"Man in the Mirror - 2012 Remaster","Michael Jackson",""
"King Of My City","A Boogie Wit da Hoodie","melodic rap"
"Kanye Krazy","Lil Durk","drill"
"Mi Gata - Speed Up","MysticDreamer",""
"WHO YOU TOUCH","Sha EK;Bandmanrill","new york drill;drill;brooklyn drill;jersey club;philly club;sexy drill"
"WE NEED ALL DA VIBES (with Young Thug & Ty Dolla $ign)","Playboi Carti;Young Thug;Ty Dolla $ign","rage rap;rap;melodic rap;trap"
"Wet Dreamz","J. Cole","rap"
"Sounds Like a Melody - 2019 Remaster","Alphaville","synthpop"
"Skiing in Japan Freestyle","Yung Gravy","meme rap"
"Missing - Todd Terry Club Mix / US Radio Edit","Everything But The Girl;Todd Terry","chicago house;hip house;house"
"Baby (Lil Baby feat. DaBaby)","Quality Control;Lil Baby;DaBaby",""
"Juice WRLD Speaks","Juice WRLD","melodic rap;emo rap"
"Break from Toronto","PARTYNEXTDOOR","r&b"
"Fullys For Bullies","Drakeo the Ruler;Lil Mosey;Ralfy the Plug","west coast hip hop;melodic rap"
"Swimming Pools (Drank) - Extended Version","Kendrick Lamar","hip hop;west coast hip hop"
"Same Bitches (feat. G-Eazy & YG)","Post Malone;G-Eazy;YG",""
"Headlines","Drake","rap;hip hop"
"Hot - Play & Win Radio Version","INNA","europop"
"Ultimate","Denzel Curry","punk rap"
"Only The Team (with Lil Mosey & Lil Tjay)","Rvssian;Lil Mosey;Lil Tjay","trap latino;melodic rap;brooklyn drill"
"Subha Hone Na De","Pritam;Mika Singh;Shefali Alvares","bollywood;hindi pop;desi;sufi"
"In The Dark","YG",""
"Walk It Talk It","Migos;Drake","trap;rap;hip hop"
"What I Want (feat. Fenix Flexin)","$tupid Young;Fenix Flexin",""
"Madiba Riddim","Drake","rap;hip hop"
"Ten Cuidado","Pitbull;Farruko;IAmChino;El Alfa;Omar Courtz","reggaeton;trap latino;dembow;urbano latino;latin"
"Sound Of Violence","Dennis De Laat",""
"Chose Me","Blueface;Blxst",""
"We Are The Waccos","Basshunter","eurodance;europop"
"Miss You - Argy Remix","Argy;Robin Schulz;Oliver Tree","melodic techno;melodic house;techno;tropical house"
"Rapper's Delight","The Sugarhill Gang",""
"I Can Walk On Water","Basshunter","eurodance;europop"
"BROTHER STONE (FEAT. KODAK BLACK)","Don Toliver;Kodak Black",""
"10 Freaky Girls (with 21 Savage)","Metro Boomin;21 Savage",""
"Or What","NLE Choppa;41;Kyle Richh","new york drill;drill;sexy drill;jersey club;brooklyn drill"
"DIE TRYING","PARTYNEXTDOOR;Drake;Yebba","r&b;rap;hip hop"
"BANDIT","Don Toliver",""
"Startender (feat. Offset and Tyga)","A Boogie Wit da Hoodie;Tyga;Offset","melodic rap"
"Eyes Without A Face","Billy Idol",""
"Waves - Robin Schulz Radio Edit","Mr. Probz;Robin Schulz","tropical house"
